class,precision,recall,f1,support
a,1.0,1.0,1.0,60.0
ajuda,0.9761904761904762,1.0,0.9879518072289156,41.0
b,0.9375,1.0,0.967741935483871,30.0
c,1.0,0.9333333333333333,0.9655172413793104,30.0
d,1.0,1.0,1.0,30.0
e,1.0,1.0,1.0,30.0
eu,1.0,1.0,1.0,30.0
f,1.0,1.0,1.0,30.0
g,1.0,1.0,1.0,60.0
h,1.0,1.0,1.0,30.0
i,1.0,1.0,1.0,30.0
j,1.0,1.0,1.0,30.0
k,1.0,1.0,1.0,30.0
l,1.0,1.0,1.0,30.0
m,1.0,1.0,1.0,30.0
n,1.0,1.0,1.0,30.0
nao,1.0,1.0,1.0,30.0
o,1.0,1.0,1.0,30.0
p,1.0,1.0,1.0,30.0
por favor,1.0,1.0,1.0,30.0
q,1.0,1.0,1.0,30.0
qual,1.0,1.0,1.0,30.0
quer,1.0,1.0,1.0,30.0
r,0.967741935483871,1.0,0.9836065573770492,30.0
s,1.0,1.0,1.0,30.0
sim,1.0,0.9666666666666667,0.9830508474576272,30.0
t,1.0,1.0,1.0,30.0
tudo bem,1.0,1.0,1.0,30.0
u,0.8181818181818182,0.9,0.8571428571428571,30.0
v,0.9230769230769231,0.8,0.8571428571428571,30.0
voce,0.967741935483871,1.0,0.9836065573770492,30.0
w,1.0,1.0,1.0,30.0
x,1.0,0.9666666666666667,0.9830508474576272,30.0
y,1.0,1.0,1.0,30.0
z,1.0,1.0,1.0,30.0
